cleaned_text_reserve,label,cleaned_text
"The dean and professors at the university are welcoming and accommodating, and the staff makes me feel at ease with their office and services.",1,dean professor university welcome accommodating staff make feel ease office service
"My experience with the school has revealed that it tends to be sluggish and takes a considerable amount of time to complete tasks, leading to unnecessary stress.",-1,experience school reveal tends sluggish take considerable amount time complete task lead unnecessary stress
The enrollment experience is characterized by a hostile atmosphere.,-1,enrollment experience characterize hostile atmosphere
"During the school year, students can stay in comfortable rooms.",0,school year student stay comfortable room
A building that houses a gym is what it is.,0,building house gym
"Despite the occasional failure of important tasks, wifi on average works normally.",-1,despite occasional failure important task wifi average work normally
The courses seem to be burdened with unnecessary tasks that do not contribute to the learning process.,-1,course seem burden unnecessary task contribute learn process
"My trust in this university has dwindled, and I'm finding it hard to believe that their promises are being kept. I feel like my grades are not as good as they used to be, which is frustrating.",-1,trust university dwindle im find hard believe promise kept feel like grade good use frustrating
"While the rooms and laboratories are secure, they may be crowded or unusable.",-1,room laboratory secure may crowd unusable
"The grading system is satisfactory, but it is not transparent.",0,grade system satisfactory transparent
The fact that I attend such a prestigious institution fills me with pride.,1,fact attend prestigious institution fill pride
The faculty members are highly qualified and bring a wealth of experience to the classroom.,1,faculty member highly qualify bring wealth experience classroom
The school appears to be neglecting the importance of enhancing student engagement in its services.,-1,school appear neglect importance enhance student engagement service
"The student events are consistently engaging, well-coordinated, and enjoyable to attend.",1,student event consistently engage wellcoordinated enjoyable attend
"The services are effective, but I believe they could be improved to make them more accessible to students.",0,service effective believe could improve make accessible student
The comfort rooms are consistently devoid of basic materials.,-1,comfort room consistently devoid basic material
The comfort rooms are consistently clean and hygienic.,1,comfort room consistently clean hygienic
The professor's indifference is discouraging.,-1,professor indifference discouraging
The enrollment process is incredibly complicated and frustrating.,-1,enrollment process incredibly complicate frustrating
The registrar's office is situated in the administration building.,0,registrar office situate administration building
There are several steps involved in the enrollment process.,0,several step involve enrollment process
The services' lack of responsiveness is a source of disappointment.,-1,service lack responsiveness source disappointment
"My experience with the school has revealed that it tends to be sluggish and takes a considerable amount of time to complete tasks, leading to unnecessary stress.",-1,experience school reveal tends sluggish take considerable amount time complete task lead unnecessary stress
"The rules are unambiguous, but some people believe they are unnecessary.",0,rule unambiguous people believe unnecessary
